09-02 10:07:34.247 I/ActivityManager( 1090): Background started FGS: Allowed [callingPackage: com.andrerinas.headunitrevived; callingUid: 10168; uidState: TOP ; uidBFSL: [BFSL]; intent: Intent { cmp=com.andrerinas.headunitrevived/com.andrerinas.openheadunit.aap.AapService }; code:PROC_STATE_TOP; tempAllowListReason:<null>; targetSdkVersion:36; callerTargetSdkVersion:36; startForegroundCount:0; bindFromPackage:null: isBindService:false]
09-02 10:07:35.197 I/OPENHU  (23762): [2] WifiDirectManager.startNativeAaQuietHost | WifiDirectManager: startNativeAaQuietHost() requested. Removing old group if any...
09-02 10:07:36.006 I/OPENHU  (23762): [2] 1.onSuccess | WifiDirectManager: 5GHz createGroup SUCCESS!
09-02 10:07:36.203 I/OPENHU  (23762): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: onGroupInfoAvailable: SSID: DIRECT-D4-Navegadortz2, BSSID: 2E:8C:78:56:F4:5F (source=IPv6 link-local), GO: true, IFACE: p2p-wlan0-7, Freq: 5180 MHz (5GHz), 5180 MHz was asked for
09-02 10:07:36.223 I/OPENHU  (23762): [76] WifiDirectManager.onGroupInfoAvailable$lambda$6 | WifiDirectManager: SUCCESS - Providing credentials to listener. SSID=DIRECT-D4-Navegadortz2, IP=192.168.49.1, BSSID=2E:8C:78:56:F4:5F, identity stable=no
09-02 10:07:37.022 I/OPENHU  (23762): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: onGroupInfoAvailable: SSID: DIRECT-D4-Navegadortz2, BSSID: 2E:8C:78:56:F4:5F (source=IPv6 link-local), GO: true, IFACE: p2p-wlan0-7, Freq: 5180 MHz (5GHz), 5180 MHz was asked for
09-02 10:07:37.031 I/OPENHU  (23762): [78] WifiDirectManager.onGroupInfoAvailable$lambda$6 | WifiDirectManager: SUCCESS - Providing credentials to listener. SSID=DIRECT-D4-Navegadortz2, IP=192.168.49.1, BSSID=2E:8C:78:56:F4:5F, identity stable=no
09-02 10:07:37.042 I/OPENHU  (23762): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: onGroupInfoAvailable: SSID: DIRECT-D4-Navegadortz2, BSSID: 2E:8C:78:56:F4:5F (source=IPv6 link-local), GO: true, IFACE: p2p-wlan0-7, Freq: 5180 MHz (5GHz), 5180 MHz was asked for
09-02 10:07:37.049 I/OPENHU  (23762): [79] WifiDirectManager.onGroupInfoAvailable$lambda$6 | WifiDirectManager: SUCCESS - Providing credentials to listener. SSID=DIRECT-D4-Navegadortz2, IP=192.168.49.1, BSSID=2E:8C:78:56:F4:5F, identity stable=no
09-02 10:07:55.267 I/OPENHU  (23762): [82] NativeAaHandshakeManager.sendProtobuf | NativeAA: [TX] Wrote TYPE 3 (size 61) to Bluetooth (write() returned; delivery unconfirmed)
09-02 10:07:57.103 I/OPENHU  (23762): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: onGroupInfoAvailable: SSID: DIRECT-D4-Navegadortz2, BSSID: 2E:8C:78:56:F4:5F (source=IPv6 link-local), GO: true, IFACE: p2p-wlan0-7, Freq: 5180 MHz (5GHz), 5180 MHz was asked for
09-02 10:07:57.111 I/OPENHU  (23762): [85] WifiDirectManager.onGroupInfoAvailable$lambda$6 | WifiDirectManager: SUCCESS - Providing credentials to listener. SSID=DIRECT-D4-Navegadortz2, IP=192.168.49.1, BSSID=2E:8C:78:56:F4:5F, identity stable=no
09-02 10:07:57.263 I/OPENHU  (23762): [60] 1.invokeSuspend | WirelessServer: Incoming connection detected from /192.168.49.54
09-02 10:07:57.487 I/OPENHU  (23762): [84] AapSslContext.performHandshake | SSL handshake complete. Session id: 4fnzyV+0iRFfAi+4pKtQneL/lTrZXsbJpR/RVG97O2g=
09-02 10:07:57.488 D/OPENHU  (23762): [84] AapTransport.handshake | Handshake: SSL handshake complete. TS: 9165606
09-02 10:08:21.403 I/OPENHU  (23762): [2] WifiDirectManager.stop | WifiDirectManager: Stopping and cleaning up...
