09-02 10:11:31.766 I/OPENHU  (25635): [97] WifiDirectManager.onGroupInfoAvailable$lambda$6 | WifiDirectManager: SUCCESS - Providing credentials to listener. SSID=DIRECT-D4-Navegadortz2, IP=192.168.49.1, BSSID=06:AF:E1:20:8D:F8, identity stable=no
09-02 10:11:31.774 I/OPENHU  (25635): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: onGroupInfoAvailable: SSID: DIRECT-D4-Navegadortz2, BSSID: 06:AF:E1:20:8D:F8 (source=IPv6 link-local), GO: true, IFACE: p2p-wlan0-11, Freq: 5180 MHz (5GHz), 5180 MHz was asked for
09-02 10:11:31.783 I/OPENHU  (25635): [98] WifiDirectManager.onGroupInfoAvailable$lambda$6 | WifiDirectManager: SUCCESS - Providing credentials to listener. SSID=DIRECT-D4-Navegadortz2, IP=192.168.49.1, BSSID=06:AF:E1:20:8D:F8, identity stable=no
09-02 10:11:32.768 W/OPENHU  (25635): [2] WifiDirectManager.onQuietGroupFailed | WifiDirectManager: 5GHz channel 36 (5180 MHz) createGroup failed (BUSY (System is busy, retry needed)), removing group and retrying in 2s (retry 2/4)...
09-02 10:11:35.377 I/OPENHU  (25635): [2] 1.onSuccess | WifiDirectManager: 5GHz createGroup SUCCESS!
09-02 10:11:35.473 I/OPENHU  (25635): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: onGroupInfoAvailable: SSID: DIRECT-D4-Navegadortz2, BSSID: C2:E4:23:83:2B:A4 (source=IPv6 link-local), GO: true, IFACE: p2p-wlan0-12, Freq: 5180 MHz (5GHz), 5180 MHz was asked for
09-02 10:11:35.485 I/OPENHU  (25635): [101] WifiDirectManager.onGroupInfoAvailable$lambda$6 | WifiDirectManager: SUCCESS - Providing credentials to listener. SSID=DIRECT-D4-Navegadortz2, IP=192.168.49.1, BSSID=C2:E4:23:83:2B:A4, identity stable=no
09-02 10:11:36.394 I/OPENHU  (25635): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: onGroupInfoAvailable: SSID: DIRECT-D4-Navegadortz2, BSSID: C2:E4:23:83:2B:A4 (source=IPv6 link-local), GO: true, IFACE: p2p-wlan0-12, Freq: 5180 MHz (5GHz), 5180 MHz was asked for
09-02 10:11:36.402 I/OPENHU  (25635): [102] WifiDirectManager.onGroupInfoAvailable$lambda$6 | WifiDirectManager: SUCCESS - Providing credentials to listener. SSID=DIRECT-D4-Navegadortz2, IP=192.168.49.1, BSSID=C2:E4:23:83:2B:A4, identity stable=no
09-02 10:11:36.413 I/OPENHU  (25635): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: onGroupInfoAvailable: SSID: DIRECT-D4-Navegadortz2, BSSID: C2:E4:23:83:2B:A4 (source=IPv6 link-local), GO: true, IFACE: p2p-wlan0-12, Freq: 5180 MHz (5GHz), 5180 MHz was asked for
09-02 10:11:36.421 I/OPENHU  (25635): [103] WifiDirectManager.onGroupInfoAvailable$lambda$6 | WifiDirectManager: SUCCESS - Providing credentials to listener. SSID=DIRECT-D4-Navegadortz2, IP=192.168.49.1, BSSID=C2:E4:23:83:2B:A4, identity stable=no
09-02 10:11:36.511 I/OPENHU  (25635): [82] NativeAaHandshakeManager.sendProtobuf | NativeAA: [TX] Wrote TYPE 3 (size 61) to Bluetooth (write() returned; delivery unconfirmed)
09-02 10:12:19.178 I/OPENHU  (25635): [70] NativeAaHandshakeManager.sendProtobuf | NativeAA: [TX] Wrote TYPE 3 (size 61) to Bluetooth (write() returned; delivery unconfirmed)
09-02 10:12:21.194 I/OPENHU  (25635): [2] WifiDirectManager.onGroupInfoAvailable | WifiDirectManager: onGroupInfoAvailable: SSID: DIRECT-D4-Navegadortz2, BSSID: C2:E4:23:83:2B:A4 (source=IPv6 link-local), GO: true, IFACE: p2p-wlan0-12, Freq: 5180 MHz (5GHz), 5180 MHz was asked for
09-02 10:12:21.201 I/OPENHU  (25635): [105] WifiDirectManager.onGroupInfoAvailable$lambda$6 | WifiDirectManager: SUCCESS - Providing credentials to listener. SSID=DIRECT-D4-Navegadortz2, IP=192.168.49.1, BSSID=C2:E4:23:83:2B:A4, identity stable=no
09-02 10:12:21.357 I/OPENHU  (25635): [71] 1.invokeSuspend | WirelessServer: Incoming connection detected from /192.168.49.54
09-02 10:12:21.528 I/OPENHU  (25635): [62] AapSslContext.performHandshake | SSL handshake complete. Session id: h+FDCied6jN9zLIvU/P2ha+JT5ucGnEuQ8+e3rJdzVo=
09-02 10:12:21.530 D/OPENHU  (25635): [62] AapTransport.handshake | Handshake: SSL handshake complete. TS: 9429647
09-02 10:13:00.234 I/OPENHU  (25635): [82] WifiDirectManager.stop | WifiDirectManager: Stopping and cleaning up...
