09-03 23:19:24.359 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5002ms: rendered=229 (45fps), fed=228 (45fps), dropped=0, skipped=0, concealed=0, inputWait=128ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=229 (45fps), decodeLatency=12ms p95=15ms (229 frames)
09-03 23:19:29.360 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5001ms: rendered=239 (47fps), fed=239 (47fps), dropped=0, skipped=0, concealed=0, inputWait=142ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=239 (47fps), decodeLatency=12ms p95=15ms (239 frames)
09-03 23:19:34.365 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5006ms: rendered=243 (48fps), fed=244 (48fps), dropped=0, skipped=0, concealed=0, inputWait=143ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=243 (48fps), decodeLatency=12ms p95=15ms (243 frames)
09-03 23:19:39.368 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5002ms: rendered=237 (47fps), fed=236 (47fps), dropped=0, skipped=0, concealed=0, inputWait=130ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=237 (47fps), decodeLatency=12ms p95=15ms (237 frames)
09-03 23:19:44.368 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5001ms: rendered=238 (47fps), fed=239 (47fps), dropped=0, skipped=0, concealed=0, inputWait=135ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=238 (47fps), decodeLatency=12ms p95=15ms (238 frames)
09-03 23:19:49.378 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5009ms: rendered=240 (47fps), fed=240 (47fps), dropped=0, skipped=0, concealed=0, inputWait=164ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=240 (47fps), decodeLatency=12ms p95=14ms (240 frames)
09-03 23:19:54.380 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5003ms: rendered=234 (46fps), fed=234 (46fps), dropped=0, skipped=0, concealed=0, inputWait=137ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=234 (46fps), decodeLatency=12ms p95=14ms (234 frames)
09-03 23:19:59.389 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5008ms: rendered=240 (47fps), fed=240 (47fps), dropped=0, skipped=0, concealed=0, inputWait=132ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=240 (47fps), decodeLatency=12ms p95=16ms (240 frames)
09-03 23:20:04.392 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5004ms: rendered=237 (47fps), fed=236 (47fps), dropped=0, skipped=0, concealed=0, inputWait=136ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=237 (47fps), decodeLatency=12ms p95=15ms (237 frames)
09-03 23:20:09.400 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5007ms: rendered=236 (47fps), fed=237 (47fps), dropped=0, skipped=0, concealed=0, inputWait=155ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=236 (47fps), decodeLatency=12ms p95=16ms (236 frames)
09-03 23:20:14.400 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5001ms: rendered=226 (45fps), fed=225 (44fps), dropped=0, skipped=0, concealed=0, inputWait=124ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=226 (45fps), decodeLatency=12ms p95=15ms (226 frames)
09-03 23:20:19.406 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5005ms: rendered=257 (51fps), fed=258 (51fps), dropped=0, skipped=0, concealed=0, inputWait=168ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=257 (51fps), decodeLatency=12ms p95=14ms (257 frames)
09-03 23:20:22.901 D/OPENHU  (11238): [198] Companion.decrypt | RECV: BLUETOOTH Media Start Request type: 32769 flags: 11 size: 23 dataOffset: 2
09-03 23:20:24.406 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5000ms: rendered=260 (52fps), fed=260 (52fps), dropped=0, skipped=0, concealed=0, inputWait=152ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=260 (52fps), decodeLatency=12ms p95=14ms (260 frames)
09-03 23:20:29.407 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5002ms: rendered=255 (50fps), fed=254 (50fps), dropped=0, skipped=0, concealed=0, inputWait=153ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=255 (50fps), decodeLatency=12ms p95=15ms (255 frames)
09-03 23:20:34.409 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5001ms: rendered=257 (51fps), fed=257 (51fps), dropped=0, skipped=0, concealed=0, inputWait=141ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=257 (51fps), decodeLatency=12ms p95=14ms (257 frames)
09-03 23:20:39.416 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5008ms: rendered=249 (49fps), fed=249 (49fps), dropped=0, skipped=0, concealed=0, inputWait=159ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=249 (49fps), decodeLatency=12ms p95=14ms (249 frames)
09-03 23:20:44.417 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5000ms: rendered=254 (50fps), fed=254 (50fps), dropped=0, skipped=0, concealed=0, inputWait=148ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=254 (50fps), decodeLatency=12ms p95=14ms (254 frames)
09-03 23:20:49.421 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5004ms: rendered=256 (51fps), fed=256 (51fps), dropped=0, skipped=0, concealed=0, inputWait=134ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=256 (51fps), decodeLatency=12ms p95=14ms (256 frames)
09-03 23:20:54.422 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5001ms: rendered=237 (47fps), fed=237 (47fps), dropped=0, skipped=0, concealed=0, inputWait=137ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=237 (47fps), decodeLatency=12ms p95=16ms (237 frames)
09-03 23:20:59.426 I/OPENHU  (11238): [208] VideoDecoder.logThroughput | Throughput over 5004ms: rendered=236 (47fps), fed=236 (47fps), dropped=0, skipped=0, concealed=0, inputWait=135ms, enqueueWait=0ms, codec=c2.qti.avc.decoder, presented=236 (47fps), decodeLatency=12ms p95=18ms (236 frames)
