09-03 23:04:48.412 I/OPENHU  (10363): [2] UsbReceiver.onReceive | USB Intent: Intent { act=android.hardware.usb.action.USB_DEVICE_DETACHED flg=0x1000010 (has extras) }
09-03 23:04:48.414 I/OPENHU  (10363): [2] UsbDeviceDiagnostics.logDeviceList | UsbDiagnostics: nothing is on the bus. Either the port carries no data, the unit is not in USB host mode, or a wireless adapter is waiting for its phone before it presents itself.
09-03 23:04:58.991 I/OPENHU  (10363): [2] UsbReceiver.onReceive | USB Intent: Intent { act=android.hardware.usb.action.USB_DEVICE_DETACHED flg=0x1000010 (has extras) }
09-03 23:04:58.992 I/OPENHU  (10363): [2] UsbReceiver.onReceive | USB Intent: Intent { act=android.hardware.usb.action.USB_DEVICE_DETACHED flg=0x1000010 (has extras) }
09-03 23:04:58.996 I/OPENHU  (10363): [2] UsbDeviceDiagnostics.logDeviceList | UsbDiagnostics: nothing is on the bus. Either the port carries no data, the unit is not in USB host mode, or a wireless adapter is waiting for its phone before it presents itself.
09-03 23:05:04.791 I/OPENHU  (10363): [2] 1.invokeSuspend | UsbAttachedActivity didn't handle Google Pixel 4 (VID: 18D1 PID: 4EE1). Trying from service...
09-03 23:05:04.810 I/OPENHU  (10363): [192] UsbAccessoryMode.switch | Sending acc start
09-03 23:05:04.818 I/OPENHU  (10363): [192] UsbAccessoryMode.switch | Acc start sent (len=0). Waiting for re-enumeration...
09-03 23:05:04.824 I/OPENHU  (10363): [2] UsbReceiver.onReceive | USB Intent: Intent { act=android.hardware.usb.action.USB_DEVICE_DETACHED flg=0x1000010 (has extras) }
09-03 23:05:04.825 I/OPENHU  (10363): [2] UsbReceiver.onReceive | USB Intent: Intent { act=android.hardware.usb.action.USB_DEVICE_DETACHED flg=0x1000010 (has extras) }
09-03 23:05:04.827 I/OPENHU  (10363): [2] UsbDeviceDiagnostics.logDeviceList | UsbDiagnostics: nothing is on the bus. Either the port carries no data, the unit is not in USB host mode, or a wireless adapter is waiting for its phone before it presents itself.
09-03 23:05:17.455 I/OPENHU  (10363): [2] UsbReceiver.onReceive | USB Intent: Intent { act=android.hardware.usb.action.USB_DEVICE_DETACHED flg=0x1000010 (has extras) }
09-03 23:05:17.457 I/OPENHU  (10363): [2] UsbReceiver.onReceive | USB Intent: Intent { act=android.hardware.usb.action.USB_DEVICE_DETACHED flg=0x1000010 (has extras) }
09-03 23:05:17.459 I/OPENHU  (10363): [2] UsbDeviceDiagnostics.logDeviceList | UsbDiagnostics: nothing is on the bus. Either the port carries no data, the unit is not in USB host mode, or a wireless adapter is waiting for its phone before it presents itself.
09-03 23:05:24.998 I/OPENHU  (10363): [2] 1.invokeSuspend | UsbAttachedActivity didn't handle Google Pixel 4 (VID: 18D1 PID: 4EE1). Trying from service...
09-03 23:05:25.018 I/OPENHU  (10363): [192] UsbAccessoryMode.switch | Sending acc start
09-03 23:05:25.028 I/OPENHU  (10363): [192] UsbAccessoryMode.switch | Acc start sent (len=0). Waiting for re-enumeration...
09-03 23:05:25.033 I/OPENHU  (10363): [2] UsbReceiver.onReceive | USB Intent: Intent { act=android.hardware.usb.action.USB_DEVICE_DETACHED flg=0x1000010 (has extras) }
09-03 23:05:25.038 I/OPENHU  (10363): [2] UsbReceiver.onReceive | USB Intent: Intent { act=android.hardware.usb.action.USB_DEVICE_DETACHED flg=0x1000010 (has extras) }
09-03 23:05:25.039 I/OPENHU  (10363): [2] UsbDeviceDiagnostics.logDeviceList | UsbDiagnostics: nothing is on the bus. Either the port carries no data, the unit is not in USB host mode, or a wireless adapter is waiting for its phone before it presents itself.
09-03 23:05:36.770 I/OPENHU  (10363): [2] UsbReceiver.onReceive | USB Intent: Intent { act=android.hardware.usb.action.USB_DEVICE_DETACHED flg=0x1000010 (has extras) }
09-03 23:05:36.771 I/OPENHU  (10363): [2] UsbReceiver.onReceive | USB Intent: Intent { act=android.hardware.usb.action.USB_DEVICE_DETACHED flg=0x1000010 (has extras) }
09-03 23:05:36.773 I/OPENHU  (10363): [2] UsbDeviceDiagnostics.logDeviceList | UsbDiagnostics: nothing is on the bus. Either the port carries no data, the unit is not in USB host mode, or a wireless adapter is waiting for its phone before it presents itself.
09-03 23:05:44.472 I/OPENHU  (10363): [2] 1.invokeSuspend | UsbAttachedActivity didn't handle Google Pixel 4 (VID: 18D1 PID: 4EE1). Trying from service...
09-03 23:05:44.493 I/OPENHU  (10363): [192] UsbAccessoryMode.switch | Sending acc start
09-03 23:05:44.498 I/OPENHU  (10363): [192] UsbAccessoryMode.switch | Acc start sent (len=0). Waiting for re-enumeration...
09-03 23:05:44.504 I/OPENHU  (10363): [2] UsbReceiver.onReceive | USB Intent: Intent { act=android.hardware.usb.action.USB_DEVICE_DETACHED flg=0x1000010 (has extras) }
09-03 23:05:44.505 I/OPENHU  (10363): [2] UsbReceiver.onReceive | USB Intent: Intent { act=android.hardware.usb.action.USB_DEVICE_DETACHED flg=0x1000010 (has extras) }
09-03 23:05:44.509 I/OPENHU  (10363): [2] UsbDeviceDiagnostics.logDeviceList | UsbDiagnostics: nothing is on the bus. Either the port carries no data, the unit is not in USB host mode, or a wireless adapter is waiting for its phone before it presents itself.
09-03 23:05:55.246 I/OPENHU  (10363): [2] UsbReceiver.onReceive | USB Intent: Intent { act=android.hardware.usb.action.USB_DEVICE_DETACHED flg=0x1000010 (has extras) }
09-03 23:05:55.249 I/OPENHU  (10363): [2] UsbReceiver.onReceive | USB Intent: Intent { act=android.hardware.usb.action.USB_DEVICE_DETACHED flg=0x1000010 (has extras) }
09-03 23:05:55.253 I/OPENHU  (10363): [2] UsbDeviceDiagnostics.logDeviceList | UsbDiagnostics: nothing is on the bus. Either the port carries no data, the unit is not in USB host mode, or a wireless adapter is waiting for its phone before it presents itself.
09-03 23:06:01.275 I/OPENHU  (10363): [2] 1.invokeSuspend | UsbAttachedActivity didn't handle Google Pixel 4 (VID: 18D1 PID: 4EE1). Trying from service...
09-03 23:06:01.291 I/OPENHU  (10363): [192] UsbAccessoryMode.switch | Sending acc start
09-03 23:06:01.291 I/OPENHU  (10363): [192] UsbAccessoryMode.switch | Acc start sent (len=0). Waiting for re-enumeration...
09-03 23:06:01.300 I/OPENHU  (10363): [2] UsbReceiver.onReceive | USB Intent: Intent { act=android.hardware.usb.action.USB_DEVICE_DETACHED flg=0x1000010 (has extras) }
09-03 23:06:01.301 I/OPENHU  (10363): [2] UsbReceiver.onReceive | USB Intent: Intent { act=android.hardware.usb.action.USB_DEVICE_DETACHED flg=0x1000010 (has extras) }
09-03 23:06:01.304 I/OPENHU  (10363): [2] UsbDeviceDiagnostics.logDeviceList | UsbDiagnostics: nothing is on the bus. Either the port carries no data, the unit is not in USB host mode, or a wireless adapter is waiting for its phone before it presents itself.
