--------- beginning of /dev/log/main
09-15 14:27:03.060  3040  3040 D dalvikvm: DexOpt: couldn't find static field Landroid/app/Notification;.AUDIO_ATTRIBUTES_DEFAULT
09-15 14:27:03.060  3040  3040 W dalvikvm: DexOpt: resolve class illegal access: Landroidx/core/app/NotificationCompat$Action$Builder$Api20Impl; -> Landroid/app/Notification$Action;
09-15 14:27:03.060  3040  3040 W dalvikvm: DexOpt: resolve class illegal access: Landroidx/core/app/NotificationCompat$Action$Builder$Api23Impl; -> Landroid/app/Notification$Action;
09-15 14:27:03.060  3040  3040 W dalvikvm: DexOpt: resolve class illegal access: Landroidx/core/app/NotificationCompat$Action$Builder$Api24Impl; -> Landroid/app/Notification$Action;
09-15 14:27:03.060  3040  3040 W dalvikvm: DexOpt: resolve class illegal access: Landroidx/core/app/NotificationCompat$Action$Builder$Api28Impl; -> Landroid/app/Notification$Action;
09-15 14:27:03.060  3040  3040 W dalvikvm: DexOpt: resolve class illegal access: Landroidx/core/app/NotificationCompat$Action$Builder$Api29Impl; -> Landroid/app/Notification$Action;
09-15 14:27:03.060  3040  3040 W dalvikvm: DexOpt: resolve class illegal access: Landroidx/core/app/NotificationCompat$Action$Builder$Api31Impl; -> Landroid/app/Notification$Action;
09-15 14:27:03.060  3040  3040 W dalvikvm: DexOpt: resolve class illegal access: Landroidx/core/app/NotificationCompat$Action$Builder; -> Landroid/app/Notification$Action;
09-15 14:27:03.060  3040  3040 W dalvikvm: DexOpt: resolve class illegal access: Landroidx/core/app/NotificationCompat$Api23Impl; -> Landroid/app/Notification$Action;
09-15 14:27:03.060  3040  3040 W dalvikvm: DexOpt: resolve class illegal access: Landroidx/core/app/NotificationCompat$Api24Impl; -> Landroid/app/Notification$Action;
09-15 14:27:03.060  3040  3040 W dalvikvm: DexOpt: resolve class illegal access: Landroidx/core/app/NotificationCompat$Api28Impl; -> Landroid/app/Notification$Action;
09-15 14:27:03.060  3040  3040 W dalvikvm: DexOpt: resolve class illegal access: Landroidx/core/app/NotificationCompat$Api31Impl; -> Landroid/app/Notification$Action;
09-15 14:27:03.070  3040  3040 I dalvikvm: DexOpt: access denied from Landroidx/core/app/NotificationCompat$Builder; to field Landroid/app/Notification;.extras
09-15 14:27:03.070  3040  3040 I dalvikvm: DexOpt: access denied from Landroidx/core/app/NotificationCompat$TvExtender; to field Landroid/app/Notification;.extras
09-15 14:27:03.070  3040  3040 I dalvikvm: DexOpt: access denied from Landroidx/core/app/NotificationCompat; to field Landroid/app/Notification;.actions
09-15 14:27:03.080  3040  3040 D dalvikvm: DexOpt: couldn't find field Landroid/app/Notification;.audioAttributes
09-15 14:27:03.100  3040  3040 D dalvikvm: DexOpt: couldn't find field Landroid/content/pm/PackageInfo;.signingInfo
09-15 14:27:03.110  3040  3040 D dalvikvm: DexOpt: couldn't find static field Landroid/graphics/Bitmap$Config;.HARDWARE
09-15 14:27:03.210  3040  3040 D dalvikvm: DexOpt: couldn't find field Landroid/view/inputmethod/EditorInfo;.contentMimeTypes
09-15 14:27:03.270  3040  3040 D dalvikvm: DexOpt: couldn't find field Landroid/content/pm/ResolveInfo;.providerInfo
09-15 14:27:03.720  3040  3040 D dalvikvm: DexOpt: load 308ms, verify+opt 1388ms, 5346068 bytes
09-15 14:27:04.140  3023  3023 D dalvikvm: DexOpt: --- END 'com.andrerinas.headunitrevived-2.apk.classes2.zip' (success) ---
09-15 14:27:04.140  3023  3023 D dalvikvm: DEX prep '/data/data/com.andrerinas.headunitrevived/code_cache/secondary-dexes/com.andrerinas.headunitrevived-2.apk.classes2.zip': unzip in 243ms, rewrite 2703ms
09-15 14:27:04.390  3023  3023 D dalvikvm: DexOpt: --- BEGIN 'com.andrerinas.headunitrevived-2.apk.classes3.zip' (bootstrap=0) ---
09-15 14:27:05.090  3041  3041 W dalvikvm: method Lcom/google/android/material/progressindicator/BaseProgressIndicator;.getCurrentDrawable incorrectly overrides package-private method with same name in Landroid/widget/ProgressBar;
09-15 14:27:05.620  3041  3041 D dalvikvm: DexOpt: couldn't find static field Landroid/graphics/Bitmap$Config;.HARDWARE
09-15 14:27:05.620  3041  3041 D dalvikvm: DexOpt: couldn't find static field Landroid/graphics/Bitmap$Config;.RGBA_F16
09-15 14:27:05.650  3041  3041 D dalvikvm: DexOpt: couldn't find field Landroid/graphics/BitmapFactory$Options;.outColorSpace
09-15 14:27:05.650  3041  3041 D dalvikvm: DexOpt: couldn't find static field Landroid/graphics/Bitmap$Config;.HARDWARE
