1269:09-04 10:51:38.169 I/OPENHU  (28002): [2] AapService.onStartCommand | AapService: ACTION_NATIVE_AA_PROMPT_SHOWN received
2235:09-04 10:51:38.947 I/OPENHU  (28002): [75] NativeAaHandshakeManager.updateWifiCredentials | NativeAA: Credentials updated. SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1, BSSID=BA:1D:26:1C:2F:3E, identity stable=no
2269:09-04 10:51:38.976 I/OPENHU  (28002): [75] NativeAaHandshakeManager.triggerPoke | NativeAA: Multi-driver selection is active and awaiting user choice — deferring automated multi-device poke loop.
3016:09-04 10:51:39.741 I/OPENHU  (28002): [76] NativeAaHandshakeManager.updateWifiCredentials | NativeAA: Credentials updated. SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1, BSSID=BA:1D:26:1C:2F:3E, identity stable=no
3058:09-04 10:51:39.763 I/OPENHU  (28002): [77] NativeAaHandshakeManager.updateWifiCredentials | NativeAA: Credentials updated. SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1, BSSID=BA:1D:26:1C:2F:3E, identity stable=no
3066:09-04 10:51:39.767 I/OPENHU  (28002): [76] NativeAaHandshakeManager.triggerPoke | NativeAA: Multi-driver selection is active and awaiting user choice — deferring automated multi-device poke loop.
3145:09-04 10:51:39.786 I/OPENHU  (28002): [77] NativeAaHandshakeManager.triggerPoke | NativeAA: Multi-driver selection is active and awaiting user choice — deferring automated multi-device poke loop.
24509:09-04 10:52:39.692 I/OPENHU  (28002): [79] NativeAaHandshakeManager.updateWifiCredentials | NativeAA: Credentials updated. SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1, BSSID=02:5D:B9:9B:08:4A, identity stable=no
24517:09-04 10:52:39.730 I/OPENHU  (28002): [79] NativeAaHandshakeManager.triggerPoke | NativeAA: Multi-driver selection is active and awaiting user choice — deferring automated multi-device poke loop.
24779:09-04 10:52:40.547 I/OPENHU  (28002): [80] NativeAaHandshakeManager.updateWifiCredentials | NativeAA: Credentials updated. SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1, BSSID=02:5D:B9:9B:08:4A, identity stable=no
24788:09-04 10:52:40.563 I/OPENHU  (28002): [81] NativeAaHandshakeManager.updateWifiCredentials | NativeAA: Credentials updated. SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1, BSSID=02:5D:B9:9B:08:4A, identity stable=no
24789:09-04 10:52:40.566 I/OPENHU  (28002): [80] NativeAaHandshakeManager.triggerPoke | NativeAA: Multi-driver selection is active and awaiting user choice — deferring automated multi-device poke loop.
24792:09-04 10:52:40.581 I/OPENHU  (28002): [81] NativeAaHandshakeManager.triggerPoke | NativeAA: Multi-driver selection is active and awaiting user choice — deferring automated multi-device poke loop.
36459:09-04 10:53:40.014 I/OPENHU  (28002): [82] NativeAaHandshakeManager.updateWifiCredentials | NativeAA: Credentials updated. SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1, BSSID=B2:BF:88:DB:65:FA, identity stable=no
36466:09-04 10:53:40.034 I/OPENHU  (28002): [82] NativeAaHandshakeManager.triggerPoke | NativeAA: Multi-driver selection is active and awaiting user choice — deferring automated multi-device poke loop.
36628:09-04 10:53:40.880 I/OPENHU  (28002): [83] NativeAaHandshakeManager.updateWifiCredentials | NativeAA: Credentials updated. SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1, BSSID=B2:BF:88:DB:65:FA, identity stable=no
36637:09-04 10:53:40.897 I/OPENHU  (28002): [84] NativeAaHandshakeManager.updateWifiCredentials | NativeAA: Credentials updated. SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1, BSSID=B2:BF:88:DB:65:FA, identity stable=no
36640:09-04 10:53:40.903 I/OPENHU  (28002): [83] NativeAaHandshakeManager.triggerPoke | NativeAA: Multi-driver selection is active and awaiting user choice — deferring automated multi-device poke loop.
36641:09-04 10:53:40.917 I/OPENHU  (28002): [84] NativeAaHandshakeManager.triggerPoke | NativeAA: Multi-driver selection is active and awaiting user choice — deferring automated multi-device poke loop.
