1269:09-04 10:51:38.169 I/OPENHU  (28002): [2] AapService.onStartCommand | AapService: ACTION_NATIVE_AA_PROMPT_SHOWN received
48341:09-04 10:54:40.328 I/OPENHU  (28002): [85] NativeAaHandshakeManager.updateWifiCredentials | NativeAA: Credentials updated. SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1, BSSID=6E:CF:44:97:75:2E, identity stable=no
48346:09-04 10:54:40.348 I/OPENHU  (28002): [85] NativeAaHandshakeManager.triggerPoke | NativeAA: Multi-driver selection is active and awaiting user choice — deferring automated multi-device poke loop.
48532:09-04 10:54:41.196 I/OPENHU  (28002): [86] NativeAaHandshakeManager.updateWifiCredentials | NativeAA: Credentials updated. SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1, BSSID=6E:CF:44:97:75:2E, identity stable=no
48542:09-04 10:54:41.214 I/OPENHU  (28002): [87] NativeAaHandshakeManager.updateWifiCredentials | NativeAA: Credentials updated. SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1, BSSID=6E:CF:44:97:75:2E, identity stable=no
48544:09-04 10:54:41.218 I/OPENHU  (28002): [86] NativeAaHandshakeManager.triggerPoke | NativeAA: Multi-driver selection is active and awaiting user choice — deferring automated multi-device poke loop.
48547:09-04 10:54:41.232 I/OPENHU  (28002): [87] NativeAaHandshakeManager.triggerPoke | NativeAA: Multi-driver selection is active and awaiting user choice — deferring automated multi-device poke loop.
60752:09-04 10:55:40.637 I/OPENHU  (28002): [88] NativeAaHandshakeManager.updateWifiCredentials | NativeAA: Credentials updated. SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1, BSSID=1A:42:ED:37:D4:86, identity stable=no
60758:09-04 10:55:40.657 I/OPENHU  (28002): [88] NativeAaHandshakeManager.triggerPoke | NativeAA: Multi-driver selection is active and awaiting user choice — deferring automated multi-device poke loop.
60933:09-04 10:55:41.518 I/OPENHU  (28002): [89] NativeAaHandshakeManager.updateWifiCredentials | NativeAA: Credentials updated. SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1, BSSID=1A:42:ED:37:D4:86, identity stable=no
60943:09-04 10:55:41.538 I/OPENHU  (28002): [90] NativeAaHandshakeManager.updateWifiCredentials | NativeAA: Credentials updated. SSID=DIRECT-TX-Navegadortz2, IP=192.168.49.1, BSSID=1A:42:ED:37:D4:86, identity stable=no
60947:09-04 10:55:41.542 I/OPENHU  (28002): [89] NativeAaHandshakeManager.triggerPoke | NativeAA: Multi-driver selection is active and awaiting user choice — deferring automated multi-device poke loop.
60948:09-04 10:55:41.557 I/OPENHU  (28002): [90] NativeAaHandshakeManager.triggerPoke | NativeAA: Multi-driver selection is active and awaiting user choice — deferring automated multi-device poke loop.
