1283:09-04 10:59:54.406 I/OPENHU  (32137): [2] AapService.onStartCommand | AapService: ACTION_NATIVE_AA_PROMPT_SHOWN received
11824:09-04 11:00:05.284 I/OPENHU  (32137): [2] NativeAaHandshakeManager.cancelPoke | NativeAA: cancelPoke() called — user explicitly canceled driver selection.
35751:09-04 11:00:30.131 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
35754:09-04 11:00:30.132 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
36097:09-04 11:00:30.516 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
36100:09-04 11:00:30.517 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
36388:09-04 11:00:30.776 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
36392:09-04 11:00:30.778 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
41889:09-04 11:00:36.168 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
41891:09-04 11:00:36.168 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
42248:09-04 11:00:36.492 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
42249:09-04 11:00:36.494 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
42587:09-04 11:00:36.829 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
42590:09-04 11:00:36.830 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
42969:09-04 11:00:37.141 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
42970:09-04 11:00:37.142 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
43322:09-04 11:00:37.416 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
43326:09-04 11:00:37.417 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
43590:09-04 11:00:37.652 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
43592:09-04 11:00:37.654 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
44001:09-04 11:00:37.947 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
44002:09-04 11:00:37.948 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
44361:09-04 11:00:38.262 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
44362:09-04 11:00:38.263 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
44646:09-04 11:00:38.547 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
44647:09-04 11:00:38.549 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
44945:09-04 11:00:38.828 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
44946:09-04 11:00:38.830 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
45301:09-04 11:00:39.106 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
45302:09-04 11:00:39.108 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
45728:09-04 11:00:39.510 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
45729:09-04 11:00:39.512 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
46224:09-04 11:00:39.895 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
46225:09-04 11:00:39.896 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
46562:09-04 11:00:40.226 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
46565:09-04 11:00:40.228 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
46930:09-04 11:00:40.599 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
46931:09-04 11:00:40.600 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
47346:09-04 11:00:40.954 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
47349:09-04 11:00:40.956 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
47766:09-04 11:00:41.352 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
47767:09-04 11:00:41.353 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
48141:09-04 11:00:41.718 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
48142:09-04 11:00:41.720 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
48511:09-04 11:00:42.018 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
48512:09-04 11:00:42.020 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
48829:09-04 11:00:42.331 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
48833:09-04 11:00:42.332 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
49111:09-04 11:00:42.641 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
49112:09-04 11:00:42.643 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
49405:09-04 11:00:42.951 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
49406:09-04 11:00:42.952 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
49726:09-04 11:00:43.269 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
49730:09-04 11:00:43.271 I/OPENHU  (32137): [62] NativeAaHandshakeManager.shouldAcceptHandshake | NativeAA: User explicitly canceled driver selection — refusing connection from A0:46:5A:97:E4:95
49990:09-04 11:00:43.537 I/OPENHU  (32137): [62] 1.invokeSuspend | NativeAA: Connection accepted from motorola edge 30 neo (A0:46:5A:97:E4:95) on local radio [Navegadortz2]
